id,poiId,cate_id,frontImg,title,avgScore,allCommentNum,address,avgPrice
84,157230343,c393,https://img.meituan.net/600.600/msmerchant/1fbc752ed2c2575520bc7c7f06d0d48c984298.jpg,蜀苑呱呱叫烧菜馆（高新店）,5,148,涪城区火炬西街与普明南路交汇处东方国际,43
85,978709703,c393,https://img.meituan.net/600.600/msmerchant/b84f821c1ba8d797a072ec89c4e8d09277496.jpg,曼时光烘培（国际城店）,4.5,6,涪城区剑南路西段跃进路4号,60
86,1645729272,c393,https://img.meituan.net/600.600/msmerchant/a2920604949d16dfe9a7e00d1c86815a278339.jpg,大味美蛙鱼头火锅（园艺山店）,3,7,涪城区园艺东街北段58号奥林春天二期10棟1层2号,50
87,177601402,c393,https://img.meituan.net/600.600/msmerchant/7ebf18530a99e2f46a2c59e5ce4ed611611469.jpg,关鱼把把烧（1958店）,4.5,237,涪城区跃进路50号（仙龙潭养身汤楼下）,55
88,1409876198,c393,https://img.meituan.net/600.600/msmerchant/6029794e98078257dbf10315ea2b97dd77400.jpg,鲜火肴瓦罐酱焖小海鲜,3.5,2,梓潼县紫阳路兴发广场3楼,23
89,182455125,c393,http://p0.meituan.net/600.600/bbia/00e871a5878c5924e6de9c7a71f9bb7b79129.jpg,马路边边麻辣烫（园艺山店）,3.4,47,涪城区园艺街长兴星城5-1-7（春舍宜宾烧烤旁）,57
90,164147461,c393,http://p0.meituan.net/600.600/mogu/05cdccdc7a0f392f5a0d8ee86b254a5c312415.jpg,三国鱼摆摆（1958店）,4.1,15,涪城区跃进路1958商业街太平洋影城斜对面,62
91,87635003,c393,http://p1.meituan.net/600.600/shopmainpic/8323d419774eb92fb2bff365e4f457ab45372.jpg,地头鲜（园艺山店）,4,358,涪城区园艺东街园艺山奥林三期,36
92,165841362,c393,https://img.meituan.net/600.600/msmerchant/5412cc7f62f011bd261372beef49c15593848.jpg,丽府e家中餐厅,3,1,涪城区火炬西街北段93号丽府e家商务酒店内,42
93,933480632,c393,https://img.meituan.net/600.600/msmerchant/316575ffa54eacc06354d024de867f20175588.jpg,彝味印象火盆烧烤（沈家坝店）,4.5,25,游仙区四川省绵阳市游仙区沈家坝北街1号1幢1-1-2-3,30
